This product is amazing and works perfectly	Positive	,Review,Polarity,Sentiment
I love this mobile phone	Positive	,,,
The movie was fantastic and enjoyable	Positive	,,,
Excellent service and friendly staff	Positive	,,,
I am very happy with the purchase	Positive	,,,
This laptop performance is outstanding	Positive	,,,
The food tastes delicious	Positive	,,,
I really enjoyed the experience	Positive	,,,
Best application I have ever used	Positive	,,,
The camera quality is excellent	Positive	,,,
The product is okay	Neutral	,,,
It works as expected	Neutral	,,,
The experience was average	Neutral	,,,
Nothing special about the service	Neutral	,,,
The item arrived on time	Neutral	,,,
The design is normal	Neutral	,,,
The movie was neither good nor bad	Neutral	,,,
It is acceptable for the price	Neutral	,,,
The app interface is simple	Neutral	,,,
The quality is decent	Neutral	,,,
I hate this product	Negative	,,,
The service was terrible	Negative	,,,
Very disappointed with the quality	Negative	,,,
The phone battery drains quickly	Negative	,,,
Worst experience ever	Negative	,,,
This application crashes frequently	Negative	,,,
The food tastes awful	Negative	,,,
The laptop is too slow	Negative	,,,
The package arrived damaged	Negative	,,,
I will never buy this again	Negative	,,,
This is the best shopping website	Positive	,,,
The teacher explained everything clearly	Positive	,,,
I feel very satisfied with the results	Positive	,,,
The customer support is excellent	Positive	,,,
The software runs smoothly	Positive	,,,
The sound quality is impressive	Positive	,,,
The product packaging looks good	Positive	,,,
I appreciate the quick response	Positive	,,,
The room was clean and comfortable	Positive	,,,
The internet speed is very fast	Positive	,,,
The product is average	Neutral	,,,
The battery backup is normal	Neutral	,,,
The movie was fine	Neutral	,,,
The service is manageable	Neutral	,,,
The quality is neither high nor low	Neutral	,,,
The design is simple and clean	Neutral	,,,
The application is easy to use	Neutral	,,,
The item is similar to the description	Neutral	,,,
The delivery time was acceptable	Neutral	,,,
The experience was normal	Neutral	,,,
The product stopped working after one day	Negative	,,,
The customer service is very poor	Negative	,,,
The application has many bugs	Negative	,,,
The sound quality is bad	Negative	,,,
The package was missing items	Negative	,,,
I am unhappy with the purchase	Negative	,,,
The device overheats quickly	Negative	,,,
The website is very slow	Negative	,,,
The product quality is cheap	Negative	,,,
This was a waste of money	Negative	,,,
feeling a nice movement in the college with our friends what a feeling is these	Positive 😊	0.6,,,
what a feel is with the friends we are in our college	Neutral 😐	0.0,,,
hello	Neutral 😐	0.0,,,
iam with my friends what a feel is this but we have to college for exam	Neutral 😐	0.0,,,
we in a birthday party with friends	Neutral 😐	0.0,,,
we are enjoying in the goa	Positive 😊	0.5,,,
we are enjoying in the goa....	Positive 😊	0.5,,,
we are in happy mode	Positive 😊	0.8,,,
enjoy with friends	Positive 😊	0.4,,,
happy	Positive 😊	0.8,,,
i pass the exam	Neutral 😐	0.0,,,
i failed nptl exam	Negative 😞	-0.5,,,
iam fail in nptl mooc test	Negative 😞	-0.5,,,
iam fail in nptl mooc text	Negative 😞	-0.5,,,
my hair is too small compare to the last one week	Negative 😞	-0.125,,,
,i pass the exam,0.0,Neutral 😐
